,text,labels
565,what's the number of instances with your friend,O O O O O O B-includetoken I-includetoken
566,what are the most frequent tokens here?,O O O O O O O
567,display f1,O B-metric
568,how does the sample with id 629 look like,O O O O O O B-id O O
569,please display all occurrences that include the words the table.,O O O O O O O O B-includetoken I-includetoken
570,what are the id's of all the items,O O O O O O O O
571,some counterfactuals for 325.,O O O B-id
572,give a detailed explanation of id 590,O O O O O O B-id
573,please provide explanation for id 670,O O O O O B-id
574,"for 387, why do you predict it?",O B-id O O O O O
575,what do you do and what is the data you're trained on like?,O O O O O O O O O O O O O
576,can you show me the roc on the data?,O O O O O B-metric O O O
577,number of rows in the data,O O O O O O
578,"for data point id 664, how would i change the prediction?",O O O O B-id O O O O O O
579,what are the 4 most relevant features for the model's decision on data point 827?,O O O B-number O O O O O O O O O O B-id
580,how do you decide whether sentences containing the word food will be 1,O O O O O O O O O B-includetoken O O B-class_names
581,provide an explanation for id 819 in everyday language,O O O O O B-id O O O
582,how many data points are there?,O O O O O O
583,i don't understand how this works,O O O O O O
584,could you show me a data point that is similar to id 147?,O O O O O O O O O O O O B-id
585,predict 487,O B-id
586,what is the probability of id eight hundred and forty-four being predicted true?,O O O O O O B-id I-id I-id I-id O O B-class_names
587,stats of the labels?,O O O O
588,what are some common mistakes you make for texts which include the corner-stone?,O O O O O O O O O O O B-includetoken I-includetoken
589,display the 42 most important features,O O O O O O
590,"probability that id 629 is predicted as ""neutral"" from the model",O O O B-id O O O B-class_names O O O
591,distribution for samples with How many years?,O O O O B-includetoken I-includetoken I-includetoken
592,show me more examples that resemble 229.,O O O O O O B-id
593,what is the predicted label for sample 85?,O O O O O O O B-id
594,what are the samples that include a delicious dessert in the data?,O O O O O O B-includetoken I-includetoken I-includetoken O O O
595,i would like to see all instances that incorporate word All the quotations.,O O O O O O O O O O B-includetoken I-includetoken I-includetoken
596,which token are the modet frequent in the data?,O O O O O O O O O
597,nice! could you give me the test precision?,O O O O O O O B-metric
598,what is the prediction for data point number eight hundred and two?,O O O O O O O O B-id I-id I-id I-id
599,what are the classes that the model predicts,O O O O O O O O
600,what instances are very close to id 664?,O O O O O O O B-id
601,"i want you to tell me the probability of the instance with id 591 being predicted in the ""question"" class by the model",O O O O O O O O O O O O O B-id O O O O B-class_names O O O O
602,"where does ""other cultures"" appear?",O O B-includetoken I-includetoken O
603,"just on instances with These documents, show me the labels?",O O O O B-includetoken I-includetoken O O O O
604,what is the roc score on the developement data,O O O B-metric O O O B-data_type O
605,please display the prediction of the instance with id 957,O O O O O O O O O B-id
606,what can i do?,O O O O
607,i want to see all instances that include the word How many years.,O O O O O O O O O O B-includetoken I-includetoken I-includetoken
608,what do you do and what is the data you're trained on like?,O O O O O O O O O O O O O
609,"when determining true, what is your f 1 score?",O O B-class_names O O O B-metric I-metric O
610,clarify id 755 with a reason,O O B-id O O O
611,show me the data point with id 461,O O O O O O O B-id
612,which keywords does the dataset have?,O O O O O O
613,could you show me the predictions on all the data?,O O O O O O O O O O
614,what's the rate you do correct predictions?,O O O O O O O
615,"in those situations where a delicious dessert is included, what are the strategies you use to figure out if the correct prediction is question",O O O O B-includetoken I-includetoken I-includetoken O O O O O O O O O O O O O O O O B-class_names
616,what are the most important features in the data when reasoning about your friend to make decisions?,O O O O O O O O O O O O B-includetoken I-includetoken O O O
617,i'd like to know the class freqs,O O O O O O O
618,show me 8 similar examples to id 477.,O O B-number O O O O B-id
619,data labels?,O O
620,return the probability that instance 240 is predicted in the non-offensive class,O O O O O B-id O O O O B-class_names O
621,show me all occurrences that have the term the nurse administer.,O O O O O O O O B-includetoken I-includetoken I-includetoken
622,can we chat?,O O O
623,what are the features in the data?,O O O O O O O
624,where do we have the security deposit?,O O O O B-includetoken I-includetoken I-includetoken
625,show me how to flip model's predictions for six hundred and fifteen.,O O O O O O O O B-id I-id I-id I-id
626,please tell me how many items are in the data,O O O O O O O O O O
627,available labels pelase,O O O
628,can you demonstrate how many data points are predicted wrongly?,O O O O O O O O O O
629,what are the most important features in the data when reasoning about employees to make decisions?,O O O O O O O O O O O O B-includetoken O O O
630,what are the sentences that have prizes?,O O O O O O B-includetoken
631,how can i chat with you?,O O O O O O
632,what are some mistakes on examples with a senior executive that the model makes,O O O O O O O B-includetoken I-includetoken I-includetoken O O O O
633,what about the model?,O O O O
634,please provide explanation for id 759,O O O O O B-id
635,can you display the instance with id 325?,O O O O O O O B-id
636,how many rows are there across all the items in the data,O O O O O O O O O O O O
637,chances of offensive to be predicted?,O O B-class_names O O O
638,where does prizes appear?,O O B-includetoken O
639,show me 7 counterfactual for instance id 139.,O O B-number O O O O B-id
640,how can i analyze the model with this?,O O O O O O O O
641,"can you list all the occurrences that involve word ""your prepared contents"".",O O O O O O O O O B-includetoken I-includetoken I-includetoken
642,top three most important features,O O O O O
643,what set of reasoning do you use to determine if instances with a party in them are true,O O O O O O O O O O O O B-includetoken I-includetoken O O O B-class_names
644,why does the model predict data 404? what does it predict for this instance?,O O O O O O B-id O O O O O O O
645,what are the label frequencies,O O O O O
646,please explain this bot,O O O O
647,"for social benefits, what are the ground truth labels",O B-includetoken I-includetoken O O O O O O
648,what is the final label for id seven hundred and forty-one?,O O O O O O O B-id I-id I-id I-id
649,explain the model's predictions on the data,O O O O O O O
650,what about the labels predicted for the samples with All the quotations?,O O O O O O O O O B-includetoken I-includetoken I-includetoken
651,return the probability that instance 516 is predicted in the directive class,O O O O O B-id O O O O B-class_names O
652,how frequently do you get it correct?,O O O O O O O
653,what is the predicted label for instance id 651?,O O O O O O O O B-id
654,need an explanation for id 115,O O O O O B-id
655,how can i analyze the model with this?,O O O O O O O O
656,"does ""What time"" appear in the dataset?",O B-includetoken I-includetoken O O O O
657,elucidate id 362 with supporting rationale,O O B-id O O O
658,what shall i do to analyze the model?,O O O O O O O O
659,could you show me a few examples you get incorrect for 100 percent chance,O O O O O O O O O O O B-includetoken I-includetoken I-includetoken
660,show me examples similar to 987.,O O O O O B-id
661,"where do we have ""How many years""?",O O O O B-includetoken I-includetoken I-includetoken
662,i'd like to know about the underlying dataset,O O O O O O O O
663,"for social benefits, what is the distribution of the labels?",O B-includetoken I-includetoken O O O O O O O
664,"i want to know the cases that entail word ""this goal"".",O O O O O O O O O B-includetoken I-includetoken
665,what features most influence model predictions,O O O O O O
666,tell me about the model,O O O O O
667,show me all instances that contain the phrase the nearest postoffice.,O O O O O O O O B-includetoken I-includetoken I-includetoken
668,what are the key tokens in the data?,O O O O O O O O
669,what about sample 864?,O O O B-id
670,could you show me a few examples of data that you get wrong?,O O O O O O O O O O O O O
671,top four features affecting the predictions for ids 274 and 979,O B-number O O O O O O B-id O B-id
672,"when determining commissive, what is your npv score?",O O B-class_names O O O B-metric O
673,i want to know highest attributed words.,O O O O O O O
674,"what are the sentences that include ""a change""?",O O O O O O B-includetoken I-includetoken
675,what are some mistakes on our commission the model typically makes,O O O O O B-includetoken I-includetoken O O O O
676,what's the probability of commissive?,O O O O B-class_names
677,please list all cases that contain the token trouble.,O O O O O O O O B-includetoken
678,please show 2 cfes for sample with id 115.,O O B-number O O O O O B-id
679,need an explanation for this,O O O O O
680,how do you decide whether sentences containing the word 100 percent chance will be inform,O O O O O O O O O B-includetoken I-includetoken I-includetoken O O B-class_names
681,what is the prediction for id 92?,O O O O O O B-id
682,can you please tell me the prediction for id 979?,O O O O O O O O O B-id
683,what is the predicted label for instance 980?,O O O O O O O B-id
684,how do you figure out if some text having How many years will be directive?,O O O O O O O O O B-includetoken I-includetoken I-includetoken O O B-class_names
685,show me more samples similar to id 864.,O O O O O O O B-id
686,need a description of the model,O O O O O O
687,what set of reasoning do you use to determine if instances containing any cakes are neutral?,O O O O O O O O O O O O B-includetoken I-includetoken O B-class_names
688,what's the f 1 score,O O B-metric I-metric O
689,"show me all instances with ""the police""",O O O O O B-includetoken I-includetoken
690,"which sentences have the words ""a picture"" in them?",O O O O O B-includetoken I-includetoken O O
691,is it possible to retrieve an instance that is analogous to id 168?,O O O O O O O O O O O O B-id
692,super cool system you got here.... could you show me the predictions across all the data?,O O O O O O O O O O O O O O O O
693,what is the predicted label for instance id 819?,O O O O O O O O B-id
694,classes for the instances that have present in them?,O O O O O O B-includetoken O O
695,what is the predicted label for sample 509?,O O O O O O O B-id
696,could you show me a few examples with Class you get incorrect,O O O O O O O O B-includetoken O O O
697,could you show me data point number 664?,O O O O O O O B-id
698,how do you figure out if some text having this apartment will be non-offensive?,O O O O O O O O O B-includetoken I-includetoken O O B-class_names
699,classes for the instances that include How many years?,O O O O O O B-includetoken I-includetoken I-includetoken
700,why is id 523 predicted question,O O O B-id O B-class_names
701,what are the most important features for the predictions,O O O O O O O O O
702,"i'd like to see all instances that feature word ""the change"".",O O O O O O O O O B-includetoken I-includetoken
703,how many data points are there?,O O O O O O
704,which sentences have the word your flight number in them?,O O O O O B-includetoken I-includetoken I-includetoken O O
705,explain id 645 in natural language,O O B-id O O O
706,"when scoring offensive, what's the model's f 1?",O O B-class_names O O O B-metric I-metric
707,which functions can you perform?,O O O O O
708,what are the class probabilities on your predictions for texts including employees?,O O O O O O O O O O O B-includetoken
709,simplify the explanation for id 114,O O O O O B-id
710,show me how to flip predictions for id 957.,O O O O O O O O B-id
711,can you list all cases that have the span a baby?,O O O O O O O O O B-includetoken I-includetoken
712,return incorrect predictions,O O O
713,describe data,O O
714,can you demonstrate how many data points are predicted wrongly?,O O O O O O O O O O
715,what are some typical mistakes on this apartment,O O O O O O B-includetoken I-includetoken
716,please display id 296,O O O B-id
717,show me the number data the model forecasts inaccurately?,O O O O O O O O O
718,justify the prediction for id 706 please,O O O O O B-id O
719,can you display all occurrences that contain word Flies.,O O O O O O O O B-includetoken
720,how does the model look like?,O O O O O O
721,what are the most important features?,O O O O O O
722,what are the gold label frequencies,O O O O O O
723,why does the model predict id 15,O O O O O O B-id
724,how does the dataset look like?,O O O O O O
725,"for 487, why do you predict it?",O B-id O O O O O
726,show me examples that are similar to 827.,O O O O O O O B-id
727,please show me all examples that feature the phrase a picture.,O O O O O O O O O B-includetoken I-includetoken
728,provide me an explanation of how the model works,O O O O O O O O O
729,show me how to make the model output a different prediction for instance 92.,O O O O O O O O O O O O O B-id
730,show mistakes,O O
731,some counterfactuals for id 520.,O O O O B-id
732,what is the model behind this?,O O O O O O
733,available labels pelase,O O O
734,what is the predicted label for id 440?,O O O O O O O B-id
735,give information of the cases that contain word some ketchup.,O O O O O O O O B-includetoken I-includetoken
736,expound on id 670 with an explanation,O O O B-id O O O
737,display 4 most frequent keywords,O B-number O O O
738,could you show which features are most critical for the predictions of the model,O O O O O O O O O O O O O O
739,i need id 694,O O O B-id
740,what are the reasons why 477 is predicted and what you have to do to flip the prediction?,O O O O O B-id O O O O O O O O O O O O
741,increases return incorrect predictions,B-includetoken O O O
742,show me how to flip predictions for 960.,O O O O O O O B-id
743,i want to see the instance with id 487,O O O O O O O O B-id
744,"i want to know the cases that entail word ""present"".",O O O O O O O O O B-includetoken
745,"show me all instances with ""The next step""",O O O O O B-includetoken I-includetoken I-includetoken
746,some counterfactuals for id 472.,O O O O B-id
747,in what ways do you determine if data will be predicted directive?,O O O O O O O O O O O B-class_names
748,could you give me 5 examples that are analogous to id eight hundred and two?,O O O O B-number O O O O O O B-id I-id I-id I-id
749,what are the counterfactuals for 92.,O O O O O B-id
750,please show me all examples that feature word Flies.,O O O O O O O O B-includetoken
751,what are the instances that have any night tours included?,O O O O O O B-includetoken I-includetoken I-includetoken O
752,"when prizes is in the text, show the distribution of the ground truth values",O B-includetoken O O O O O O O O O O O O
753,what are the top two most important features for the models predictions?,O O O O O O O O O O O O
754,how does the sample with id 850 look like,O O O O O O B-id O O
755,which counterfactual examples do we have for id 683?,O O O O O O O O B-id
756,"what are the sentences containing ""places""?",O O O O O B-includetoken
757,most important features for predictions,O O O O O
758,data labels?,O O
759,describe data,O O
760,show me all instances that comprise the phrase some ketchup.,O O O O O O O O B-includetoken I-includetoken
761,hmm... i was wondering what it would take to flip the prediction of instance with id 177?,O O O O O O O O O O O O O O O O B-id
762,i want to see all the cases that contain the span prizes.,O O O O O O O O O O O B-includetoken
763,what 1 features most influence the model's predictions for ids 629 and 820,O B-number O O O O O O O O B-id O B-id
764,what's the negative predictive value on How many years?,O O B-metric I-metric I-metric O B-includetoken I-includetoken I-includetoken
765,how do i change the prediction for the data point with the id number eight hundred and forty-four?,O O O O O O O O O O O O O O B-id I-id I-id I-id
766,show me the prediction for eight hundred and fifty-six.,O O O O O B-id I-id I-id I-id
767,what are the class probabilities on your predictions for texts including about twenty people?,O O O O O O O O O O O B-includetoken I-includetoken I-includetoken
768,what are the top five most important features for the models predictions?,O O O O O O O O O O O O
769,what are the reasons why 177 is predicted and what you have to do to flip the prediction?,O O O O O B-id O O O O O O O O O O O O
770,what's the ppv score,O O B-metric O
771,can you show me how many data the model predicts incorrectly?,O O O O O O O O O O O
772,what do you do and what is the data you're trained on like?,O O O O O O O O O O O O O
773,what shall i do to analyze the data?,O O O O O O O O
774,please show me the most contributing words with label inform.,O O O O O O O O O B-class_names
775,what's the rate you do correct predictions?,O O O O O O O
776,what classes do we have?,O O O O O
777,who are you?,O O O
778,what are is the distribution of the target variables?,O O O O O O O O O
779,tell me what the model is,O O O O O O
780,how many data points are in this group?,O O O O O O O O
781,what is the resulting label for id 85?,O O O O O O O B-id
782,need a description of the model,O O O O O O
783,can you please retrieve an instance that is similar to id 743?,O O O O O O O O O O O B-id
784,can you please introduce yourself,O O O O O
785,what are the counterfactual examples for instance id 296.,O O O O O O O O B-id
786,"i'm a bit lost, what is it?",O O O O O O O
787,"give information of the cases that contain word ""any cakes"".",O O O O O O O O B-includetoken I-includetoken
788,show me 6 counterfactuals for instance id 25.,O O B-number O O O O B-id
789,i want to know topk contributed words with label directive.,O O O O O O O O O B-class_names
790,show me gold classes for the data,O O O O O O O
791,what are some typical mistakes on a vacation,O O O O O O B-includetoken I-includetoken
792,how does id 274 look like?,O O O B-id O O
793,what are the rationale's for the model's prediction of data sample 25 and how could one change the prediction?,O O O O O O O O O O O B-id O O O O O O O
794,i'd like to know what are the ground truth labels,O O O O O O O O O O
795,how do you decide whether sentences containing the word minutes ' time will be offensive,O O O O O O O O O B-includetoken I-includetoken I-includetoken O O B-class_names
796,what are the statistics of the labels like?,O O O O O O O O
797,what's the f 1 for instances containing four dollars?,O O B-metric I-metric O O O B-includetoken I-includetoken
798,show me all instances that contain the phrase seemingly unrelated countries.,O O O O O O O O B-includetoken I-includetoken I-includetoken
799,show the prediction for id one hundred and forty-nine please.,O O O O O B-id I-id I-id I-id O
800,what features most influence model predictions,O O O O O O
801,which token are the modet frequent in the data?,O O O O O O O O O
802,give me the accuracy on the data,O O O B-metric O O O
803,please show the most important feature for the predictions,O O O O O O O O O
804,show me data the model gets wrong,O O O O O O O
805,key features for data point 819,O O O O O B-id
806,show me examples similar to 820.,O O O O O B-id
807,tell me how this was predicted,O O O O O O
808,what are some typical mistakes on the rooms,O O O O O O B-includetoken I-includetoken
809,show me how to make the model output a different prediction for instance id two hundred and forty-two.,O O O O O O O O O O O O O O B-id I-id I-id I-id
810,show me top 7 frequent tokens,O O O B-number O O
811,what's the data like and what can you do?,O O O O O O O O O
812,nice! could you give me the test negative predictive value on the test data?,O O O O O O O B-metric I-metric I-metric O O B-data_type O
813,give an overview of the data.,O O O O O O
814,can you display all occurrences that contain the words water dispenser?,O O O O O O O O O B-includetoken I-includetoken
815,"for 667, please show me the values of the features.",O B-id O O O O O O O O
816,what are the sentences that have something?,O O O O O O B-includetoken
817,show me similar examples to id 516.,O O O O O O B-id
818,what instances are almost like id 957?,O O O O O O B-id
819,what's the likelihood of offensive?,O O O O B-class_names
820,number of data points,O O O O
821,show me the item ids on the training data,O O O O O O O O O
822,"for the data point with id 692, how could we change the prediction, what is the model's rationale, and what does it predict?",O O O O O O B-id O O O O O O O O O O O O O O O O
823,show bad predictions,O O O
824,most influential feature for data point 115?,O O O O O O B-id
825,what's the testing positive predictive value for examples including How many years,O O O B-metric I-metric I-metric O O O B-includetoken I-includetoken I-includetoken
826,how do you decide whether examples with the words These documents will be inform,O O O O O O O O O B-includetoken I-includetoken O O B-class_names
827,what does the model predict for id 564?,O O O O O O O B-id
828,show me the results for 177.,O O O O O B-id
829,which sentences have the word a commission in them?,O O O O O B-includetoken I-includetoken O O
830,is it possible to show me ten data points that are similar to id 520?,O O O O O O B-number O O O O O O O B-id
831,what is the model behind this?,O O O O O O
832,give me an example that is similar to id 472.,O O O O O O O O O B-id
833,i would like to see all instances that incorporate word the agency.,O O O O O O O O O O B-includetoken I-includetoken
834,what are the rationale's for the model's prediction of data sample 767 and how could one change the prediction?,O O O O O O O O O O O B-id O O O O O O O
835,flip the classification for sample 704?,O O O O O B-id
836,a bank show bad predictions,B-includetoken I-includetoken O O O
837,"for those where social benefits is part of the input, could you tell me the total number of items in the data",O O O B-includetoken I-includetoken O O O O O O O O O O O O O O O O O
838,what are some common mistakes you make when predicting parliament?,O O O O O O O O O B-includetoken
839,classes for the instances that include a senior executive?,O O O O O O B-includetoken I-includetoken I-includetoken
840,tell me what the model and data are,O O O O O O O O
841,top two keywords,O B-number O
842,"can you provide me with all occurrences that comprise word ""the change"".",O O O O O O O O O O B-includetoken I-includetoken
843,what are the keywords?,O O O O
844,"for my keys, could you show me if the model predicts the data correctly for some examples?",O B-includetoken I-includetoken O O O O O O O O O O O O O O
845,how would you characterize the mistakes you make on a change?,O O O O O O O O O B-includetoken I-includetoken
846,what are the most important features for the model's predictions on all instances that include the field?,O O O O O O O O O O O O O O O B-includetoken I-includetoken
847,what are the key features for data point 523,O O O O O O O O B-id
848,"for the down payment, could you show me if the model predicts the data correctly for some examples?",O B-includetoken I-includetoken I-includetoken O O O O O O O O O O O O O O
849,which keywords does the dataset have?,O O O O O O
850,what is this app about?,O O O O O
851,can you give me a list of all the examples that contain the word twenty cents?,O O O O O O O O O O O O O O B-includetoken I-includetoken
852,what set of reasoning do you use to determine if instances with the nurse administer in them are directive,O O O O O O O O O O O O B-includetoken I-includetoken I-includetoken O O O B-class_names
853,could you show me the predictions on all the data?,O O O O O O O O O O
854,please show me all examples that feature word What time.,O O O O O O O O B-includetoken I-includetoken
855,could you describe the data and model?,O O O O O O O
856,show the probability that id 322 is directive,O O O O O B-id O B-class_names
857,show bad predictions,O O O
858,what are is the distribution of the target variables?,O O O O O O O O O
859,how do i use this thing?,O O O O O O
860,5 most important features for ids one hundred and forty-seven and 274,B-number O O O O O B-id I-id I-id I-id O B-id
861,what do we predict for id one hundred and forty-seven?,O O O O O O B-id I-id I-id I-id
862,display most important features,O O O O
863,what features are not that important,O O O O O O
864,what does the model predict for the instance id 706?,O O O O O O O O O B-id
865,could you please show me 5 counterfactuals for 404?,O O O O O B-number O O B-id
866,can you show me how many data the model predicts incorrectly?,O O O O O O O O O O O
867,show me all occurrences that have the term increases.,O O O O O O O O B-includetoken
868,what set of factors do you leverage on texts including the table to figure out if they are true?,O O O O O O O O O O B-includetoken I-includetoken O O O O O O B-class_names
869,how does the data look like?,O O O O O O
870,can you show me 5 instances that are similar to id 605?,O O O O B-number O O O O O O B-id
871,show mistakes,O O
872,show me the class frequencies please,O O O O O O
873,explain me what is the model please,O O O O O O O
874,what are the major features for instance 263?,O O O O O O O B-id
875,it would be very useful if you could provide a description of the model!,O O O O O O O O O O O O O O
876,what are 4 most common words here?,O O B-number O O O O
877,i was wondering what are the most important features for instance 296?,O O O O O O O O O O O B-id
878,what is this bot...,O O O O
879,what are the top 8 features for the model's prediction on data point 446?,O O O O B-number O O O O O O O O B-id
880,describe the model and data,O O O O O
881,tell me how many items there are in the data,O O O O O O O O O O
882,please tell moe more about the data,O O O O O O O
883,show me similar examples to 168.,O O O O O B-id
884,display negative predictive value,O B-metric I-metric I-metric
885,i would like to see all instances that incorporate the phrase 15 yuan.,O O O O O O O O O O O B-includetoken I-includetoken
886,could you show me more samples similar to id 645?,O O O O O O O O O B-id
887,can you display all occurrences that contain the words nine different cockroaches?,O O O O O O O O O B-includetoken I-includetoken I-includetoken
888,show prediction of id 605,O O O O B-id
889,what features most influence the model's predictions,O O O O O O O
890,please show four most frequent tokens in the data,O O B-number O O O O O O
891,"i'd like to see all instances that feature word ""Stefan"".",O O O O O O O O O B-includetoken
892,what is the predicted label for instance id 147?,O O O O O O O O B-id
893,what are the counterfactuals for 251.,O O O O O B-id
894,what are the similar instances for 312?,O O O O O O B-id
895,why do you predict instance sample id 819,O O O O O O O B-id
896,show me how to make the model output a different prediction for 322.,O O O O O O O O O O O O B-id
897,what are the sentences that include Flies?,O O O O O O B-includetoken
898,what about id 196?,O O O B-id
899,how accurate are you in predicting the class directive?,O O O O O O O O B-class_names
900,can you show me the f1 on the evaluation data?,O O O O O B-metric O O B-data_type O
901,how does the data look like?,O O O O O O
902,show me the number data the model forecasts inaccurately?,O O O O O O O O O
903,how would you rationalize this?,O O O O O
904,"can you list all the occurrences that involve word ""a Labrador"".",O O O O O O O O O B-includetoken I-includetoken
905,"do we have ""any night tours"" in the data?",O O O B-includetoken I-includetoken I-includetoken O O O
906,tell me the number data the model predicts falsely?,O O O O O O O O O
907,explain this is natural language,O O O O O
908,what are is the distribution of the target variables?,O O O O O O O O O
909,show me the results for id two hundred and forty-two.,O O O O O O B-id I-id I-id I-id
910,break down id 312 with a clear explanation,O O O B-id O O O O
911,can you display all occurrences that contain the words The position?,O O O O O O O O O B-includetoken I-includetoken
912,why do you predict instance 201?,O O O O O B-id
913,"for a senior executive, what is the distribution of the labels?",O B-includetoken I-includetoken I-includetoken O O O O O O O
914,give me the negative predictive value on the data,O O O B-metric I-metric I-metric O O O
915,"please show me all examples that feature word ""the change"".",O O O O O O O O B-includetoken I-includetoken
916,i don't understand why the model predicted this label,O O O O O O O O O
917,could you let me know why you predicted a senior executive?,O O O O O O O O B-includetoken I-includetoken I-includetoken
918,"what are the instances that have ""100 percent chance"" included?",O O O O O O B-includetoken I-includetoken I-includetoken O
919,can you display the instance with id 739?,O O O O O O O B-id
920,tell me a bit more about what i can do here,O O O O O O O O O O O
921,could you please show me 1 counterfactual examples for 443?,O O O O O B-number O O O B-id
922,what is the final label for id 222?,O O O O O O O B-id
923,give the prec score,O O B-metric O
924,how do you figure out if texts which mention the steak will be inform,O O O O O O O O O B-includetoken I-includetoken O O B-class_names
925,can you tell me the main features for instance 629?,O O O O O O O O O B-id
926,show me the predictions for id 629.,O O O O O O B-id
927,main properties of the model?,O O O O O
928,could you show which features are most critical for the predictions of the model,O O O O O O O O O O O O O O
929,what's the testing rec for examples including four dollars,O O O B-metric O O O B-includetoken I-includetoken
930,show me the item ids on the training data,O O O O O O O O O
931,"give information of the cases that contain word ""this goal"".",O O O O O O O O B-includetoken I-includetoken
932,please provide some instructions on how to use this,O O O O O O O O O
933,shed light on id 864 in simple terms,O O O O B-id O O O
934,what's the negative predictive value for instances containing the change?,O O B-metric I-metric I-metric O O O B-includetoken I-includetoken
935,top 5 keywords,O B-number O
936,"i'd like to see all instances that feature word ""acute insight"".",O O O O O O O O O B-includetoken I-includetoken
937,which model processes the data?,O O O O O
938,show me the class frequencies please,O O O O O O
939,what are the ground truth labels in the data for the agency,O O O O O O O O O O B-includetoken I-includetoken
940,"for a party, what are some mistakes you typically make?",O B-includetoken I-includetoken O O O O O O O
941,what set of factors do you leverage on texts including a man to figure out if they are no hate speeech?,O O O O O O O O O O B-includetoken I-includetoken O O O O O O B-class_names I-class_names I-class_names
942,please show id 645,O O O B-id
943,what are counterfactuals for seven hundred and forty-one.,O O O O B-id I-id I-id I-id
944,can you list all cases that have the span a cabinet?,O O O O O O O O O B-includetoken I-includetoken
945,what instances are almost like id eight hundred and two?,O O O O O O B-id I-id I-id I-id
946,what is this about?,O O O O
947,please provide more examples that are similar to eight hundred and two.,O O O O O O O O B-id I-id I-id I-id
948,could you please show me 10 counterfactual examples for id 898?,O O O O O B-number O O O O B-id
949,how do the labels look like?,O O O O O O
950,what do we get for id 387?,O O O O O O B-id
951,why was this label predicted for id 767?,O O O O O O O B-id
952,what set of factors do you take into consideration when determining if texts containing the agent are true?,O O O O O O O O O O O O O O B-includetoken I-includetoken O B-class_names
953,deliver a natural language description for id one hundred and forty-nine,O O O O O O O B-id I-id I-id I-id
954,which feature is most significant for data point 234?,O O O O O O O O B-id
955,how can i analyze the model with this?,O O O O O O O O
956,testing negative predictive value,O B-metric I-metric I-metric
957,what are the top 2 features for the model's prediction on data point 121?,O O O O B-number O O O O O O O O B-id
958,what features are not that important,O O O O O O
959,what data points does the model typically predict mistakenly on texts with the divorce?,O O O O O O O O O O O O B-includetoken I-includetoken
960,show me 5 counterfactuals for instance 704.,O O B-number O O O B-id
961,what are your functions?,O O O O
962,how would you characterize the mistakes you make on all the data?,O O O O O O O O O O O O
963,total number of elements in the data,O O O O O O O
964,i want to see all instances that include the word any night tours.,O O O O O O O O O O B-includetoken I-includetoken I-includetoken
965,"give information of the cases that contain word ""the next step"".",O O O O O O O O B-includetoken I-includetoken I-includetoken
966,could you show me more samples similar to id one hundred and forty-nine?,O O O O O O O O O B-id I-id I-id I-id
967,what instances are almost like id 121?,O O O O O O B-id
968,how are the classes distributed for the samples with the bulletin?,O O O O O O O O O B-includetoken I-includetoken
969,i would like to see the top attributed tokens with label commissive.,O O O O O O O O O O O B-class_names
970,what's the prec score,O O B-metric O
971,how can i chat with you?,O O O O O O
972,why do you predict instance sample id 873,O O O O O O O B-id
973,what is the statistics of the labels,O O O O O O O
974,in what ways do you determine if data will be predicted hate speech?,O O O O O O O O O O O B-class_names I-class_names
975,what are the id's of all the items,O O O O O O O O
976,could you give me 3 examples that are analogous to id 274?,O O O O B-number O O O O O O B-id
977,what about examples that look like 139.,O O O O O O B-id
978,what do you predict for 864?,O O O O O B-id
979,what set of factors do you take into consideration when determining if instances with the next step are commissive,O O O O O O O O O O O O O O B-includetoken I-includetoken I-includetoken O B-class_names
980,the nearest postoffice sample mistakes,B-includetoken I-includetoken I-includetoken O O
981,what are the features in the data?,O O O O O O O
982,why was this label predicted for id 25?,O O O O O O O B-id
983,probability of 0?,O O B-class_names
984,what are your functions?,O O O O
985,why is id six hundred and fifteen predicted commissive,O O O B-id I-id I-id I-id O B-class_names
986,"for present, what are some mistakes you typically make?",O B-includetoken O O O O O O O
987,give me an example that is similar to id 340.,O O O O O O O O O B-id
988,what errors does the model typically make on the data?,O O O O O O O O O O
989,show me the evaluation set performance,O O O B-data_type O O
990,return the probability that instance 957 is predicted in the 0 class,O O O O O B-id O O O O B-class_names O
991,could you show me how to change the prediction for the data point 827?,O O O O O O O O O O O O O B-id
992,show me the item ids on the training data,O O O O O O O O O
993,what aspects of the data make you more confident in your predictions?,O O O O O O O O O O O O
994,can we chat?,O O O
995,show me the model's rationale for making predictions on all the data,O O O O O O O O O O O O
996,what's the most important feature for the model when it sees a delicious dessert?,O O O O O O O O O O O B-includetoken I-includetoken I-includetoken
997,what are the ground truth labels in the data for places,O O O O O O O O O O B-includetoken
998,i want to know why the model predited this,O O O O O O O O O
999,how accurate is the model on all the data?,O O O O O O O O O
1000,can you please retrieve an instance that is similar to id 546?,O O O O O O O O O O O B-id
1001,what aspects of the data make you more confident in your predictions?,O O O O O O O O O O O O
1002,show me examples similar to instance 759.,O O O O O O B-id
1003,feature importances,O O
1004,what are the features in the data?,O O O O O O O
1005,"for this apartment, how many instances in the data are there?",O B-includetoken I-includetoken O O O O O O O O
1006,show mistakes,O O
1007,give the acc score,O O B-metric O
1008,i don't understand why the model predicted this label,O O O O O O O O O
1009,what set of reasoning do you use to determine if instances containing the down payment are false?,O O O O O O O O O O O O B-includetoken I-includetoken I-includetoken O B-class_names
1010,main properties of the model?,O O O O O
1011,count the total number of data points,O O O O O O O
