text,labels
can you please introduce yourself,4
what are the reasoning strategies you leverage?,17
offer a plain-english interpretation for id 274,16
are there any other 6 samples that are similar to id 68?,2
could you show me more samples similar to id 240?,2
what instances are very close to id 168?,2
can you display all cases that comprise the term prizes?,0
i don't understand why the model predicted this label,16
can you provide me with all occurrences that comprise the words other cultures?,0
"for id 850, please provide the prediction.",3
description of the model please,8
what are 7 most common words here?,14
what are the frequencies for the labels?,18
can you tell me what is being predicted for 322?,3
how did you decide what to predict for id 404 and what could someone do to change this prediction?,1
what is the final label for id 523?,3
what's the f 1 performance of the model on the evaluation data for texts with the agent,10
show me at least ten keywords,14
explain id eighty-two with rationale,16
most critical feature for id 605,15
show me 9 counterfactual for instance id eight hundred and forty-four.,1
what are some typical mistakes the model makes?,13
can you tell me the main features for instance 263?,15
show me ten data points that are analogous to id 325.,2
which functions can you perform?,9
what set of factors do you leverage on texts including   Time to figure out if they are non-offensive?,17
describe id 772 with an understandable explanation,16
want to see the model,8
how can i change the prediction for the data point with an id of 472?,1
i was wondering what are the most important features for instance 635?,15
what set of factors do you leverage on texts including   Time to figure out if they are non-offensive?,17
"are there any instances with ""the table""?",0
what are the instances that have an announcement included?,0
describe the model,8
key features for data point 208,15
why is id 664 predicted directive,15
i want to know the cases that entail word that problem.,0
how does the data look like?,5
what functions are you capable of?,9
how do you figure out if some text having the smart one will be non-offensive?,17
"for the divorce, what is the distribution of the label?",18
"when determining offensive, what is your roc score?",10
show me top seven frequent tokens,14
what are the top 1 influential features for ids eight hundred and two and eight hundred and two,15
some counterfactuals for 196.,1
what are the most important features for the predictions,17
please show 6 cfes for sample 759.,1
"for other cultures, how many instances in the data are there?",11
display 9 most frequent keywords,14
show me 1 counterfactual for instance 520.,1
explain the model's predictions on the data,17
show me all instances with town,0
show prediction of id 340,3
probability data point 446 is predicted by the model commissive,7
please explain this bot,4
can you tell me the main features for instance 263?,15
show me more samples similar to id 645.,2
give me all the occurrences that feature the phrase a Labrador.,0
super cool system you got here.... could you show me the predictions across all the data?,3
explan me in english the reason the model made this prediction,16
show me more examples that resemble 25.,2
most influential feature for data point 820?,15
most impactful feature for data point 548?,15
what are the top 8 features for the model's prediction on data point 66?,15
labels please,12
"for four dollars, how well, in terms of negative predictive value, does the model do on the evaluation data",10
can you display all occurrences that contain word photocopies.,0
what is the prediction for id 461?,3
show me more samples similar to 692.,2
tell me how this was predicted,16
what can you show me?,9
"can you display all occurrences that contain word ""stand-by"".",0
do we have this apartment somewhere in the text?,0
please show three most frequent tokens in the data,14
which sentences have the word your prepared contents in them?,0
explain the reasoning and how to flip the predictions for data point id 629,1
show me the predictions for 590.,3
distribution for samples with four dollars?,18
testing acc,10
describe the model and data,8
"for twenty cents, what are the ground truth labels",12
super cool system you got here.... could you show me the predictions across all the data?,3
what is the statistics of the labels,18
would it be possible for you to tell me how to change the prediction for the data point with the id number 546?,1
i would like to see the top attributed tokens with label offensive.,17
how do the labels look like?,12
rationalize the prediction for id 115,16
town show bad predictions,13
show me 2 counterfactuals for instance id 322.,1
what do we predict for id 25?,3
classes for the instances that have a nice office in them?,12
what does instance with id 548 need to do to change the prediction?,1
what is this bot...,4
"for the data point with id 274, how could we change the prediction, what is the model's rationale, and what does it predict?",1
how do the labels look like?,12
some counterfactuals for 196.,1
"can you list all the occurrences that involve word ""stand-by"".",0
please provide a description for the dataset,5
i'd like to know the class freqs,18
please show 3 cfes for id 85.,1
can you tell me the main features for instance 263?,15
what are the labels for all the data,12
show me every example that has word a relaxed atmosphere.,0
what are the major features for instance 159?,15
describe id 772 with an understandable explanation,16
"does ""the corner-stone"" appear in the dataset?",0
could you show me more samples similar to id 240?,2
what set of factors do you leverage on texts including   Time to figure out if they are non-offensive?,17
give information of topk contributed words with label offensive.,17
how can i analyze the model with this?,9
offer a plain-english interpretation for id 274,16
what are the reasons for predicting id eighty-two and why do you predict this instance?,15
show me the results for id 177.,3
show me more samples similar to 692.,2
what are you?,4
can you please retrieve an example that is analogous to id 322?,2
show me all cases with minutes ' time,0
what's the number of instances with present,11
return prediction id eight hundred and two,3
what is the probability of id 362 being predicted no hate speeech?,7
that problem show mistakes,13
show me top seven frequent tokens,14
please show me the most contributing words with label 1.,17
what is the predicted label for 404?,3
could you show me how to change the prediction for the data point 115?,1
please show me how the labels are distributed,18
show me more samples similar to 692.,2
"for 516, why do you predict it?",15
i'd like to know about the underlying dataset,5
"just on instances with prizes, show me the labels?",12
please explain this bot,4
could you show top six most important features for the data point 898,15
super cool system you got here.... could you show me the predictions across all the data?,3
how would you flip the prediction for id 404?,1
classes for the instances that include that problem?,12
which sentences have the word your prepared contents in them?,0
which token are the modet frequent in the data?,14
i would like to see some keywords from the dataset,14
"can you provide me with all occurrences that comprise word ""the corner-stone"".",0
what's the number of data points that operation took into consideration?,11
what can i do?,9
how often are you correct?,10
please give me 6 examples that are similar to id 987.,2
what is the probability of id 362 being predicted no hate speeech?,7
how often are you correct?,10
what's the acc on this data?,10
what is the predicted label for instance id 819?,3
please display the class freqs,18
more info about the data and model,5
what errors does the model typically make on the data?,13
please provide me with 6 examples that are similar to id 979.,2
what are the most important features for the predictions,17
what are the 4 most frequent keywords?,14
"are there any instances with ""a change""?",0
show bad predictions,13
can you display all occurrences that contain the words a commission?,0
generate a natural language explanation for id 440,16
what about sample 168?,6
where do we have These documents?,0
show me all occurrences that have the term 15 yuan.,0
what is this bot...,4
show me examples similar to id one hundred and forty-nine.,2
display roc,10
what is the way to change the prediction for the data point with the id number 477?,1
what do you do and what is the data you're trained on like?,4
elucidate id 159 with supporting rationale,16
what does the model predict for the instance with id 234?,3
show me 8 similar examples to 591.,2
provide me an explanation of how the model works,8
top five keywords,14
show me 2 counterfactuals for instance id 322.,1
what's the acc on this data?,10
what set of reasoning do you use to determine if instances with Rubella in them are offensive,17
furnish a justification for id 635,16
are there any other 8 samples that are similar to 340?,2
tell me a bit more about what i can do here,9
nice. i'm pretty satisfied with the prediction of id seven hundred and forty-one. but could you tell me how to change the prediction?,1
more info about the data and model,5
what does the model predict on all the training data,3
can you show me 10 instances that are similar to id 472?,2
"which sentences have the words ""Rubella"" in them?",0
what are is the distribution of the target variables?,18
what does the model predict for the instance 706?,3
"which sentences have the words ""Rubella"" in them?",0
"can you provide me with all occurrences that comprise word ""the corner-stone"".",0
which functions do you have?,9
"for twenty cents, what are the ground truth labels",12
i'd like to know about the underlying dataset,5
give a rationale for id 605,16
how would you characterize the mistakes you make on all the data?,13
how does the data look like?,5
what are the data labels for acute insight,12
how can i change the prediction for the data point with an id of 472?,1
what are some typical mistakes the model makes?,13
could you tell me how to change the prediction point for data point one hundred and forty-seven?,1
what does the model predict for the instance 706?,3
which feature is most significant for data point 743?,15
what are the features,5
"where in the data does ""your friend"" appear?",0
what is the probability of id 362 being predicted no hate speeech?,7
explan me in english the reason the model made this prediction,16
show me the results for id 177.,3
i would like to see all instances that incorporate the phrase the table.,0
show me top seven frequent tokens,14
give an overview of the data.,5
how many data points are in this group?,11
give me a list of all examples that include the token this goal.,0
how accurate is the model on all the data?,10
most important feature,17
i would like to see more instances like 139.,2
what are some mistakes on minutes ' time the model typically makes,13
primary features of data point 509,15
what shall i do to analyze the model?,9
what do we get for id 767?,3
some ketchup sample mistakes,13
show me more examples that resemble 25.,2
"do we have ""15 yuan"" in the data?",0
what are the top 2 most important features,17
what is the probability of id 362 being predicted no hate speeech?,7
"for 234, please show me the values of the features.",6
available labels pelase,12
how many items are there in the data?,11
show me 2 counterfactuals for instance id 322.,1
could you please tell me the predictions for id 739 and what you have to do to flip the prediction?,1
show me more samples similar to id 645.,2
can you tell me what is being predicted for id 590?,3
does the model predict texts that include about twenty people correctly?,13
which data is used for training the model?,5
show the most frequent keywords in the dataset,14
top three most important features,17
provide an explanation for id 322 in everyday language,16
"probability that id 204 is predicted as ""no hate speeech"" from the model",7
what about examples that look like id 85.,2
show me how to make the model output a different prediction for instance 296.,1
return prediction id eight hundred and two,3
how can i check my model with this?,9
provide me an explanation of how the model works,8
top five keywords,14
"are there any instances with ""a change""?",0
what's the chance instance id 139 is scored as true,7
most important features for data point 664,15
number of rows in the data,11
what classes do we have?,12
how can we interact?,4
show me more samples similar to 692.,2
what instances are almost like id 440?,2
i would like to see more instances like id 229.,2
i would like to see the top attributed tokens with label offensive.,17
"for four dollars, how well, in terms of negative predictive value, does the model do on the evaluation data",10
show me how to flip predictions for 873.,1
could you show me some data the model predicts incorrectly?,13
can you list the most important words in the whole dataset with label non-offensive.,17
show the prediction for id 743 please.,3
why do you predict instance 240?,15
describe data,5
can you display all occurrences that contain the words a commission?,0
which data does the model use?,5
i want to see all instances that include the word this apartment.,0
what data points does the model typically predict wrongly on texts with an announcement?,13
how does the model work?,8
how many rows are there across all the items in the data,11
show me 9 counterfactual for instance id eight hundred and forty-four.,1
what are the id's of all the items,11
how would you flip the prediction for id 404?,1
which data is used for training the model?,5
could you show top six most important features for the data point 898,15
"what are the samples that include ""the nearest postoffice"" in the data?",0
"what are the sentences containing ""a senior executive""?",0
how do you decide whether examples with the words All the quotations will be 0,17
what's the model?,8
"does ""the corner-stone"" appear in the dataset?",0
acute insight show faulty predictions,13
classes for the instances that have a nice office in them?,12
is it possible to retrieve six data points that are analogous to id 898?,2
predict 739,3
please show me how the labels are distributed,18
how many rows are there across all the items in the data,11
what shall i do to analyze the model?,9
how accurate are you in predicting the class 0?,10
show me more examples that resemble 25.,2
show me data the model gets wrong,13
what are the similar instances for id 208?,2
what are the main characteristics of the model?,8
most significant feature for instance 115,15
any suggestion on what i can do?,9
show me examples similar to eighty-two.,2
what is the purpose of this web application?,4
please provide me with 6 examples that are similar to id 979.,2
"when determining offensive, what is your roc score?",10
show me all occurrences that feature the token Many ads.,0
show the prediction for id 743 please.,3
how many data points are there?,11
what are some mistakes on the security deposit examples the model typically makes,13
how does id eight hundred and forty-four look like?,6
show the predictions on all the data,3
"what does my model predict for data 177? next, once you've completed this, could you tell me why the model predicts it?",15
how does the data look like?,5
can you provide me with all examples that have the term a cabinet?,0
what are the most important features in the data when reasoning about well established channels to make decisions?,17
what are the most important features for the predictions,17
could you tell me how to change the prediction point for data point one hundred and forty-seven?,1
classes for the instances that include that problem?,12
what is the datset here?,5
what does the model predict for the instance id 564?,3
what are is the distribution of the target variables?,18
display the 42 most important features,17
show me top seven frequent tokens,14
sample mistakes,13
"when scoring true, what's the model's ppv?",10
what's the acc on this data?,10
return incorrect predictions,13
please give me 6 examples that are similar to id 987.,2
"for data point id 92, how would i change the prediction?",1
what is the predicted label for sample 987?,3
how accurate is the model on all the data?,10
describe data,5
available labels pelase,12
how do the labels look like?,12
any suggestion on what i can do?,9
please display the class freqs,18
what set of factors do you take into consideration when determining if instances with our final confirmation are 1,17
what are some typical mistakes on a delicious dessert,13
provide me an explanation of how the model works,8
show me similar examples to id 683.,2
display id 25 please,6
more info about the data and model,5
could you give me 2 examples that are analogous to id eight hundred and two?,2
which data does the model use?,5
how do you figure out if data points are directive,17
how many data points are in the training data set,11
i want to see all the cases that contain the span increases.,0
provide a plain language interpretation for id 516,16
"i'm a bit lost, what is it?",4
please display id 755,6
what are the statistics of the labels like?,18
"for the divorce, what is the distribution of the label?",18
what are the top two most important features for the models predictions?,17
"i would like to see all instances that incorporate word ""Flies"".",0
what's the data like and what can you do?,5
please provide me with all examples that involve the token nine different cockroaches.,0
show me how to make the model output a different prediction for id 645.,1
"i would like to see all instances that incorporate word ""Flies"".",0
show me how to make the model output a different prediction for id 645.,1
present a comprehensible explanation for id 25,16
explan me in english the reason the model made this prediction,16
how would you characterize the mistakes you make on Stefan?,13
give me the npv on the data,10
could you show me an instance that is similar to id 440?,2
can you list all cases that have the span the smart one?,0
which token are the modet frequent in the data?,14
show me examples that are similar to one hundred and forty-seven.,2
"i'd like to see all instances that feature word ""What time"".",0
what 2 features most influence the model's predictions for ids 25 and 25,15
what's the testing roc for examples including the rooms,10
show me examples that are similar to one hundred and forty-seven.,2
deliver a natural language description for id 168,16
show me the data point with id 546,6
i would like to see all instances that incorporate the phrase the table.,0
clarify id 396 with a reason,16
what does the model predict for the instance 706?,3
what set of factors do you leverage on texts including   Time to figure out if they are non-offensive?,17
what do you predict for 296?,3
can you please tell me the prediction for id seven hundred and forty-one?,3
could you please tell me the predictions for id 739 and what you have to do to flip the prediction?,1
"where in the data do we have ""a baby""?",0
what's the reason the model predicts this label for id six hundred and fifteen,16
please provide the 2 most critical features for data point 509,15
show common keywords,14
flip prediction class data point 685,1
tell me how many items there are in the data,11
what are some typical mistakes on a delicious dessert,13
show me more examples that resemble id 147.,2
give information of the cases that contain word the interview.,0
what methods do you use to come to predict offensive?,17
what are some mistakes on examples with ESL that the model makes,13
top five keywords,14
"show me all instances with ""present""",0
show me how to make the model output a different prediction for instance id 979.,1
what about the model?,8
need an explanation for this,16
show me more examples that resemble id 147.,2
what do we predict for id 25?,3
what does the model predict for 25?,3
show me all occurrences that feature the token Many ads.,0
what does instance with id 685 have to do in order to change the prediction?,1
show me ten data points that are analogous to id 325.,2
tell me how many items there are in the data,11
"probability that id 204 is predicted as ""no hate speeech"" from the model",7
what does the model predict for id 404?,3
show me 9 counterfactuals for instance 635.,1
give a detailed explanation of id 716,16
show me a similar data point to id 772.,2
please provide explanation for id 387,16
tell me the number data the model predicts falsely?,13
can you show me the sensitivity on the data?,10
how does the dataset look like?,5
feature importance,17
please show me all examples that feature the phrase a picture.,0
give the accuracy score,10
what aspects of the data do you consider when reasoning about examples containing the span the rooms to make decisions,17
what are the similar instances for 772?,2
how do you figure out if some text having the smart one will be non-offensive?,17
how do you figure out if data points are directive,17
what are some data points you get incorrect?,13
display roc,10
which functions do you have?,9
show me similar examples to id 683.,2
what's the positive predictive value for instances containing Class?,10
what are the model's predictions for 114?,3
how would you characterize the mistakes you make on all the data?,13
how accurate are you in predicting the class 0?,10
show me more samples similar to 692.,2
show me the prediction probabilities for instances with a senior executive,7
what's the number of instances with present,11
show the most frequent keywords in the dataset,14
what are the model's predictions for 114?,3
predict 739,3
expound on id 664 with an explanation,16
could you show me a few examples with 100 percent chance you get incorrect,13
what would it take to change how instance 461 is predicted?,1
how would you rationalize this?,16
what are the reasons for predicting id eighty-two and why do you predict this instance?,15
why was this label predicted for id 204?,16
please tell me how many items are in the data,11
what is this bot...,4
is it possible to retrieve six data points that are analogous to id 898?,2
"for the divorce, what is the distribution of the label?",18
tell me what the model is,8
least important features,17
give information of topk contributed words with label offensive.,17
can you provide me with reasoning for the model's predictions on the subset of examples containing This machine?,17
could you show me more samples similar to 960?,2
show me how to make the model output a different prediction for id 645.,1
what instances are very close to id 168?,2
how many instances did that consider?,11
could you describe the data and model?,5
how do i use this thing?,9
hmm... i was wondering what it would take to flip the prediction of instance with id 114?,1
provide me an explanation of how the model works,8
i want to see all the cases that contain the span increases.,0
what's the data like and what can you do?,5
please provide me with all examples that incorporate the words the bulletin.,0
what are the counterfactual examples for instance one hundred and forty-nine.,1
could you show me some data the model predicts incorrectly?,13
can you display all occurrences that contain word photocopies.,0
show me the results for one hundred and forty-nine.,3
give information of the cases that contain word the interview.,0
what does the model predict for 25?,3
display instances,6
how many data points are there?,11
most important features for predictions,17
show me the results for one hundred and forty-nine.,3
"which sentences have the word ""a steady market"" in them?",0
could you please tell me the predictions for id 739 and what you have to do to flip the prediction?,1
can you display all occurrences that contain the words a commission?,0
what are the similar instances for id 208?,2
please show me all examples that feature the phrase a picture.,0
distribution for samples with four dollars?,18
i would like to see more instances like id 229.,2
how many rows are there across all the items in the data,11
can you tell me the main features for instance 263?,15
testing acc,10
what's the idea?,4
please show the most important feature for the predictions,17
i want to know the cases that entail word that problem.,0
what's the data,5
why do you predict instance sample id one hundred and forty-seven,15
more info about the data and model,5
i don't know how to start,4
show me all instances that comprise the phrase social benefits.,0
"where does ""passengers"" appear?",0
what features most influence the model's predictions,17
what are the features,5
please provide more examples that are similar to eight hundred and fifty-six.,2
show me how to make the model output a different prediction for 66.,1
"in cases where the word the saying is present, how do you determine the outcome neutral",17
how frequently do you get it correct?,10
is it possible to retrieve an instance that is analogous to id 546?,2
which counterfactual examples do we have for 147?,1
"just on instances with prizes, show me the labels?",12
is it possible to show me two data points that are similar to id 322?,2
show me how to flip predictions for id 204.,1
show me the prediction probabilities for instances with a senior executive,7
what are the 3 most important features in the texts that include four dollars?,17
i would like to see more instances like 139.,2
can you give me a list of all the examples that contain the word a change?,0
how accurate are you in predicting the class 0?,10
return prediction id eight hundred and two,3
what does the model predict for 92?,3
what are is the distribution of the target variables?,18
how does the model look like?,8
show me how to make the model output a different prediction for id 645.,1
what does the model predict for the instance 706?,3
display the 42 most important features,17
please display all instances that have the token a party.,0
show me similar examples to id 683.,2
which functions do you have?,9
where do we have These documents?,0
probability of id eighty-two predicted neutral?,7
return the probability that instance 322 is predicted in the non-offensive class,7
what are some mistakes on the security deposit examples the model typically makes,13
"what does my model predict for data 177? next, once you've completed this, could you tell me why the model predicts it?",15
please show 4 cfes for 957.,1
which sentences have the words increases in them?,0
what's the number of instances with present,11
flip prediction class data point 685,1
which ten words occur the most in the data?,14
"what does my model predict for data 177? next, once you've completed this, could you tell me why the model predicts it?",15
what are the cfes for nine hundred and seventy-seven?,1
"for the data point with id 274, how could we change the prediction, what is the model's rationale, and what does it predict?",1
"for those where about twenty people is part of the input, could you tell me the total number of items in the data",11
give an account for id 168 with justification,16
show me some data you predict incorrectly,13
"when a cabinet is in the text, show the distribution of the ground truth values",18
what functions are you capable of?,9
can you provide me with reasoning for the model's predictions on the subset of examples containing This machine?,17
feature importance,17
show me examples that are similar to id 694.,2
probability of hate speech?,7
what are some mistakes on examples with ESL that the model makes,13
show me cfe's for the instance with id 477,1
what are the most frequent keywords in the data?,14
what are the most important features for the model's predictions on all instances that include any cakes?,17
what are some mistakes on examples with ESL that the model makes,13
who are you?,4
how do the labels look like?,12
what is the predicted label for instance 520?,3
show me top seven frequent tokens,14
what are the model's predictions for id 820?,3
"for four dollars, how well, in terms of negative predictive value, does the model do on the evaluation data",10
where do we have These documents?,0
tell me what the model and data are,8
which keywords does the dataset have?,14
describe your typical mistakes over the dataset,13
give me an example that is similar to id 251.,2
"do we have ""the change"" somewhere in the text?",0
"for id 850, please provide the prediction.",3
show me the prediction for 404.,3
show me the instances that are almost like id 694,2
would it be possible for you to tell me how to change the prediction for the data point with the id number 546?,1
"5 most important features for id's 396, 396, 396",15
generate a natural language explanation for id 440,16
can you provide me with all occurrences that comprise word minutes ' time.,0
please display all instances that have the token a party.,0
how do i use this thing?,9
in what ways do you determine if data will be predicted commissive?,17
describe your typical mistakes over the dataset,13
i would like to have a look at id 68,6
could you show me some data the model predicts incorrectly?,13
what's the model?,8
please provide me with 6 examples that are similar to id 979.,2
show me all instances that include the word a must.,0
what are the most important features for the predictions,17
show the prediction for 605 please.,3
most impactful feature for data point 548?,15
i would like to have a look at id 68,6
what's the testing roc for examples including the rooms,10
what are counterfactuals for 898.,1
how does the dataset look like?,5
what instances are similar to 274?,2
i don't understand how this works,4
show me all instances that include the span the table.,0
what are the class probabilities on your predictions for texts including a baby?,7
nice! could you give me the test accuracy?,10
do you have a manual?,9
"for the data point with id 274, how could we change the prediction, what is the model's rationale, and what does it predict?",1
tell me what the model is,8
which keywords does the dataset have?,14
please explain,16
what is the predicted label for id 591?,3
what is the datset here?,5
id 980 please,6
"what are the instances that have ""Many ads"" included?",0
what are the label frequencies,18
what can you do?,9
need an explanation for this,16
"can you display all occurrences that contain word ""stand-by"".",0
could you show me a data point that is similar to id eight hundred and two?,2
most important feature,17
nice. i'm pretty satisfied with the prediction of id seven hundred and forty-one. but could you tell me how to change the prediction?,1
describe the model and data,8
which ten words occur the most in the data?,14
show me the six most important features for data point 546,15
would it be possible for you to tell me how to change the prediction for the data point with the id number 546?,1
i don't know how to start,4
show the predictions across all the instances,3
what are the predictions for id 590?,3
i would like to see more instances like 139.,2
what errors does the model typically make on the data?,13
can you list all the occurrences that involve word the security deposit.,0
could you show me a few examples with 100 percent chance you get incorrect,13
probability of hate speech?,7
show me all instances that include the word a must.,0
"in those situations where This machine is included, what are the strategies you use to figure out if the correct prediction is true",17
what's the positive predictive value for instances containing Class?,10
show me a similar data point to id 772.,2
show me nine similar examples to id seven hundred and forty-one.,2
"when determining offensive, what is your roc score?",10
can you show me 10 instances that are similar to id 472?,2
what are the gold label frequencies,18
total number of training items in the data,11
most impactful feature for data point 548?,15
please provide explanation for id 387,16
what are the most important features for the model's predictions on all instances that include any cakes?,17
"8 most crucial features for ids 704, 704, and 704",15
"can you display all occurrences that contain word ""stand-by"".",0
show me how to flip model's predictions for 819.,1
number of data points,11
i would like to see more instances like 139.,2
what set of factors do you leverage on town appearances to figure out if the texts are false,17
provide an explanation for id 322 in everyday language,16
i would like to see more instances like 139.,2
what shall i do to analyze the data?,9
show me gold classes for the data,12
"can you list all the occurrences that involve word ""stand-by"".",0
top 5 features influencing the model's prediction on data point 312?,15
please show me all examples that feature the phrase a picture.,0
give a rationale for id 605,16
what is the prediction for id 196 and why do you predict it?,15
what features are not that important,17
does photocopies appear in the dataset?,0
what are the class frequencies,18
show me nine similar examples to id seven hundred and forty-one.,2
why do you predict instance id 716,15
what are some mistakes on minutes ' time the model typically makes,13
give a rationale for id 605,16
"for increases, what is the distribution of the labels?",18
any suggestion on what i can do?,9
what about id 396?,6
what are some typical mistakes the model makes?,13
does the model predict texts that include about twenty people correctly?,13
"show me all instances that include the word ""about twenty people"".",0
could you show me some data the model predicts incorrectly?,13
what's the data,5
"what does my model predict for data 177? next, once you've completed this, could you tell me why the model predicts it?",15
which sentences have the words increases in them?,0
can you list all the occurrences that involve word the security deposit.,0
could you please show me 1 counterfactuals for id 979?,1
show me at least ten keywords,14
show me all instances that include the span the table.,0
nice. i'm pretty satisfied with the prediction of id seven hundred and forty-one. but could you tell me how to change the prediction?,1
what are the top two most important features for the models predictions?,17
return the probability that instance 322 is predicted in the non-offensive class,7
"for four dollars, how well, in terms of negative predictive value, does the model do on the evaluation data",10
what are the predictions for id 590?,3
can you provide me an instance that is analogous to id 461?,2
what are the cfes for id 139?,1
how can i chat with you?,4
can you display all occurrences that contain the words a commission?,0
clarify the reasoning behind id 283,16
what are the labels for all the data,12
i'd like to know about the underlying dataset,5
which data is used for training the model?,5
give me an example that is similar to id 251.,2
could you show me a data point that is similar to id eight hundred and two?,2
what is the probability of id 362 being predicted no hate speeech?,7
what about id 396?,6
what's the probability of non-offensive?,7
"for increases, what is the distribution of the labels?",18
what's the data like and what can you do?,5
could you show me some data the model predicts incorrectly?,13
what's the data,5
i want to see all instances that include the word this apartment.,0
why does the model predict id nine hundred and seventy-seven,15
give information of topk contributed words with label offensive.,17
please tell moe more about the data,5
what's the data like and what can you do?,5
i would like to see the top attributed tokens with label offensive.,17
is it possible to retrieve an instance that is analogous to id 546?,2
please tell me what you are and what you do!,4
what can you show me?,9
i want to know the cases that entail word that problem.,0
which sentences have the words increases in them?,0
please explain this bot,4
what does the model predict for the instance 706?,3
show me 2 counterfactuals for instance id 322.,1
"i want to know the cases that entail word ""some ketchup"".",0
nice! could you give me the test accuracy?,10
tell me how many instances in the data include acute insight,11
which counterfactual examples do we have for id 605?,1
what set of factors do you take into consideration when determining if texts containing parliament are question?,17
show me the number data the model forecasts inaccurately?,13
what does the model predict for the instance 706?,3
how are the classes distributed for the samples with employees?,18
could you show me a few examples with 100 percent chance you get incorrect,13
what's the probability of non-offensive?,7
top 5 features influencing the model's prediction on data point 312?,15
any rational explanation for this prediction?,16
top 9 features affecting the predictions for ids 739 and 739,15
provide an explanation for id 322 in everyday language,16
what shall i do to analyze the model?,9
what set of reasoning do you use to determine if instances containing water dispenser are no hate speeech?,17
any suggestion on what i can do?,9
could you show me a few examples you get incorrect for What time,13
likelihood for non-offensive to be predicted?,7
who are you?,4
data labels?,12
"when determining offensive, what is your roc score?",10
please show id 234,6
"can you provide me with all occurrences that comprise word ""the corner-stone"".",0
display most important features,17
what's the acc on this data?,10
show mistakes,13
how do you decide whether sentences containing the word acute insight will be neutral,17
what's the data,5
what are the rationale's for the model's prediction of data sample 629 and how could one change the prediction?,1
i would like to have a look at id 68,6
what are the similar instances for id 208?,2
show me the instances that are almost like id 694,2
most influential feature for data point 820?,15
most important features for data point 664,15
please show id 234,6
i don't understand how this works,4
could you show me a few examples with 100 percent chance you get incorrect,13
what is the datset here?,5
show faulty predictions,13
could you give me 2 examples that are analogous to id eight hundred and two?,2
explain my model's rationale for predict data number one hundred and forty-nine and how to flip this prediction,1
what data points does the model typically predict wrongly on texts with an announcement?,13
tell me how many items there are in the data,11
tell me the number data the model predicts falsely?,13
show me 9 counterfactuals for instance 635.,1
show me a similar data point to id 772.,2
show me examples that are similar to id 694.,2
classes for the instances that have a nice office in them?,12
can you provide me with all occurrences that comprise the words other cultures?,0
which functions can you perform?,9
give information of topk contributed words with label offensive.,17
please tell me how many items are in the data,11
"for this goal, could you show me if the model predicts the data correctly for some examples?",13
can you show me 10 instances that are similar to id 472?,2
please show the top few features for the predictions,17
interpret id 387 in plain language,16
display id 25 please,6
"just on instances with prizes, show me the labels?",12
which options do you have?,9
"what does my model predict for data 177? next, once you've completed this, could you tell me why the model predicts it?",15
which counterfactual examples do we have for id 605?,1
display 9 most frequent keywords,14
why does the model predict data 487? what does it predict for this instance?,15
can you display all cases that comprise the term prizes?,0
what are the gold label frequencies,18
what are the major features for instance 159?,15
what is the prediction for id 461?,3
show the predictions on all the data,3
can you please introduce yourself,4
acute insight show faulty predictions,13
show me how to flip model's predictions for 819.,1
could you show me more samples similar to 960?,2
what is the predicted label for instance id 819?,3
show me some data you predict incorrectly,13
elucidate id 159 with supporting rationale,16
give a rationale for id 605,16
please show 4 cfes for sample with id 208.,1
"show me every example that has word ""The next step"".",0
"do we have ""the change"" somewhere in the text?",0
provide reasoning for id 694 in layman's terms,16
explan me in english the reason the model made this prediction,16
could you tell me what this is,4
what instances are similar to 274?,2
justify the prediction for id 772 please,16
can you tell me how many data points is the model predicting incorrectly?,13
how accurate are you in predicting the class 0?,10
how does the model work?,8
what instances are very close to id 168?,2
what is the model's prediction for 980?,3
how many data points are in the training data set,11
show me 8 similar examples to 591.,2
retrieve an instance that is similar to id 139.,2
show me all occurrences that feature the token Many ads.,0
what do we predict for id 25?,3
what do you do and what is the data you're trained on like?,4
please provide me with all examples that incorporate the words the bulletin.,0
could you show me a few examples of data that you get wrong?,13
explain id 404 and provide a rationale,16
please display the prediction of the instance with id eighty-two,3
town show bad predictions,13
what's the data like and what can you do?,5
what's the positive predictive value for instances containing Class?,10
can you give me a list of all the examples that contain the word a change?,0
which feature is most significant for data point 743?,15
what's the most important feature for data point 209?,15
display roc,10
retrieve a data point that is analogous to id 92.,2
"when determining offensive, what is your roc score?",10
explan me in english the reason the model made this prediction,16
please show three most frequent tokens in the data,14
what does the model predict for 92?,3
show me similar examples to two hundred and forty-two.,2
what are the main characteristics of the model?,8
"i would like to see all instances that incorporate word ""Flies"".",0
i would like to see all the examples that contain the phrase our commission.,0
explain the model's predictions on the data,17
show me the predictions for 590.,3
i don't understand why the model predicted this label,16
please show the top few features for the predictions,17
please provide explanation for id 387,16
describe data,5
show mistakes,13
what does the model predict for the instance id 564?,3
please show me id 229,6
how would you flip the prediction for id 404?,1
"give information of the cases that contain word ""acute insight"".",0
why is id 664 predicted directive,15
sample mistakes,13
could you tell me the specificity on the developement data for the availability,10
why do you predict instance 240?,15
how can i analyze the model with this?,9
could you show me a few examples with 100 percent chance you get incorrect,13
what is the model behind this?,8
could you tell me the specificity on the developement data for the availability,10
what are the sentences that have ESL?,0
please display the prediction of the instance with id eighty-two,3
how many data points have the agent in it,11
who are you?,4
are there any other 6 samples that are similar to id 68?,2
what's the likelihood of offensive?,7
