Id,Question,Passage,Explanation
992,is the us the only country to change time,"Daylight saving time by country -- Most areas in North America and Europe, and some areas in the Middle East, observe daylight saving time (DST), while most areas of Africa and Asia do not. In South America, most countries in the north of the continent near the equator do not observe DST, while Paraguay and southern parts of Brazil do. The practice of observing daylight saving time in Oceania is also mixed, with New Zealand and parts of southeastern Australia observing DST, while most other areas do not.","
The answer is that the passage is incorrect. While most parts in Africa do NOT observe Day Light Saving Time, some parts do, such as South Africa.

"
993,can you use a white background as a green screen,"Chroma key -- Chroma key compositing, or chroma keying, is a visual effects/post-production technique for compositing (layering) two images or video streams together based on color hues (chroma range). The technique has been used heavily in many fields to remove a background from the subject of a photo or video -- particularly the newscasting, motion picture and videogame industries. A color range in the foreground footage is made transparent, allowing separately filmed background footage or a static image to be inserted into the scene. The chroma keying technique is commonly used in video production and post-production. This technique is also referred to as color keying, colour-separation overlay (CSO; primarily by the BBC), or by various terms for specific color-related variants such as green screen, and blue screen -- chroma keying can be done with backgrounds of any color that are uniform and distinct, but green and blue backgrounds are more commonly used because they differ most distinctly in hue from most human skin colors. No part of the subject being filmed or photographed may duplicate the color used as the backing.","
Chroma key is used to replace background with foreground in videography. For example, a news report shot in a studio with a blue background can have the background replaced with the footage of an anchor in front of green background.

"
994,do i have to show identification to a police officer,"Stop and identify statutes -- ``Stop and identify'' statutes are statutory laws in the United States that authorize police to legally obtain the identification of someone whom they reasonably suspect of having committed a crime. If there is no reasonable suspicion that a crime has been committed, is being committed, or is about to be committed, an individual is not required to provide identification, even in ``Stop and ID'' states.","
In the US, police officers are only required by law to require identification from individuals they suspect have committed or are committing a criminal offense. This is because the Fourth Amendment to the Constitution of the USA protects individuals from unreasonable searches and seizures. Therefore, if a law enforcement officer does not have reasonable grounds to suspect that an offense has occurred or will occur, then the officer is required under the law not to detain the individual for identification purposes. 

 

The Fourth amendment to  the US Constitution protects against unreasonable search and seizure. The amendment states that the government cannot search a person without a warrant, and that warrant must be based on probable cause. Probable cause exists when there are facts and circumstances that would lead a reasonable person to believe that evidence of a particular crime will be found in a specific place. 

If a policeman does have probablecause to search someone, but does  not have sufficient grounds for a stop, he or she is only obligated to demand identification.


Explanation: The answer is based off of Fourth Amendement to US constitution. Police officers in US are required only to ask for ID if they have enough grounds (probablecause) to stop the person. In case police do not, they are not obligated.  

"
995,is there a town called radiator springs on route 66,"Radiator Springs -- Radiator Springs is a fictional town in the Cars series created as a composite of multiple real places on historic U.S. Route 66 from Kansas to Arizona. It appears in the 2006 Pixar film Cars and the associated franchise, as well as a section of the Disney California Adventure theme park.","
The fictional Radiator Springs does not exist on Route66. The closest town to Route-66 that does is Galesburg, Illinois.

"
996,is surgical spirit and rubbing alcohol the same thing,"Rubbing alcohol -- The United States Pharmacopeia defines 'isopropyl rubbing alcohol USP' as containing approximately 70 percent by volume of pure isopropyl alcohol and defines 'rubbing alcohol USP' as containing approximately 70 percent by volume of denatured alcohol. In Ireland and the UK, the comparable preparation is surgical spirit B.P., which the British Pharmacopoeia defines as 95% methylated spirit, 2.5% castor oil, 2% diethyl phthalate, and 0.5% methyl salicylate. Under its alternative name of ``wintergreen oil'', methyl salicylate is a common additive to North American rubbing alcohol products. Individual manufacturers are permitted to use their own formulation standards in which the ethanol content for retail bottles of rubbing alcohol is labeled as and ranges from 70-99% v/v.","
In Ireland, surgicalspirit is 95 percent methylated spirits and contains 2 percent di ethyl pthalate and 2-5 percent castore oil. 

 

The United states pharmacopea defines rubbing alchol as 70% isoproply alcohol

"
997,is california state route 73 a toll road,"California State Route 73 -- State Route 73 (SR 73) is a state highway in the U.S. state of California, running from the junction with Interstate 405 in Costa Mesa through the San Joaquin Hills to its junction with Interstate 5 in San Juan Capistrano, its northern and southern termini, respectively. The entirety of the route is located in Orange County. From its southern terminus, the first twelve miles 12 miles (19 km) of the highway are a toll road, which opened in November 1996. This segment of SR 73 is operated by the San Joaquin Hills Transportation Corridor Agency named the San Joaquin Hills Transportation Corridor. The last 3 miles (4.8 km) of the 15-mile (24 km) highway, which opened in 1978, are part of the Corona del Mar Freeway. SR 73's alignment follows an approximately parallel path between the Pacific Coast Highway and the San Diego Freeway. For the three mile freeway segment, there are no HOV lanes currently, but the medians have been designed with sufficient clearance for their construction should the need arise in the future.","
The portion of State route  73 in California that is not tolled is the portion that follows the parallel alignment with the other two highways.

"
998,do indian passport holder need visa for indonesia,"Visa requirements for Indian citizens -- The requirement for a visa was removed by Indonesia and Ukraine in July 2017, Qatar in August 2017, Serbia in September 2017, Tunisia in October 2017. Visa free status was granted to parts of the Russian Far East: Primorye and the rest of Khabarovsk, Sakhalin, Chukotka and Kamchatka regions in 2018.","
Indians do not need a VISA to visit Indonesia. The Indonesian government has removed the visa requirement.

"
999,is the west indies part of the caribbean,"West Indies -- The West Indies is a region of the North Atlantic Ocean in the Caribbean that includes the island countries and surrounding waters of three major archipelagoes: the Greater Antilles, the Lesser Antilles and the Lucayan Archipelago.","
The West indIES is part the CARIBBEAN. 

 

A:

Yes, it is. The Caribbean is an oceanic region that comprises the West Indian islands.

"
1000,will there be a jurassic world fallen kingdom sequel,"Jurassic World: Fallen Kingdom -- Filming took place from February to July 2017 in the United Kingdom and Hawaii. Produced and distributed by Universal Pictures, Fallen Kingdom premiered in Madrid on May 21, 2018, and was released internationally in early June 2018 and in the United States on June 22, 2018. The film has grossed over $1.2 billion worldwide, making it the third Jurassic film to pass the mark, the third highest-grossing film of 2018 and the 13th highest-grossing film of all time. It received mixed reviews from critics, who praised Pratt's performance, Bayona's direction, the visuals, and the ``surprisingly dark moments'', although many criticized the screenplay and lack of innovation, with some suggesting the series has run its course. An untitled sequel is set to be released on June 11, 2021, with Trevorrow returning to direct.","
The film grosses over 1.20 billion dollars and is the 3rd highest grossing Jurassic film. This is because of the positive reception of Chris Pratts performance and Guillermo Bayonas direction.

"
1001,will there be a fallen 2 movie 2017,"Fallen (2016 film) -- In December 2014, it was announced that Torment, the second installment in the Fallen book series, was in development. It is unknown whether the last two novels, Passion and Rapture, and the spin-off novel, Unforgiven, will be adapted as well. In 2017, producer Kevan Van Thompson asked the fans if they want an adaptation of ``Torment'', showing that the sequel still could be made.","
The producers of the film Fallentimes asked fans of ""Tormented"" if the story was worth continuing. The fans said yes, so Fallented is in production.

"
1002,is least squares the same as linear regression,"Ordinary least squares -- In statistics, ordinary least squares (OLS) is a type of linear least squares method for estimating the unknown parameters in a linear regression model. OLS chooses the parameters of a linear function of a set of explanatory variables by the principle of least squares: minimizing the sum of the squares of the differences between the observed dependent variable (values of the variable being predicted) in the given dataset and those predicted by the linear function.","
OLs is not the the Same as Linear Regression. 

 

A:

Ordinary Least Squares (or O LS) and Linear regression are not equivalent.  Ordinal least Squres is the method of choice when the dependent variables are categorical.

"
1003,do i need a visa for bhutan from uk,"Visa policy of Bhutan -- All foreigners (except for citizens of Bangladesh, India, and Maldives) must obtain a visa before visiting Bhutan. If approved, they are given a visa clearance letter, and must present it at the port of entry. The visa is then stamped into their passport. Foreign tourists must use a licensed Bhutanese tour operator or one of their international partners to pre-arrange their visa and book their holiday. A daily fee is also charged for every day of stay. For most foreign tourists, it amounts to $250 a day during tourist high season, and $200 a day for low season.","
Bhuttos require a visitor visa to enter Bhuttan, which is stamped in the passport of visitors. Visitors must prearranged their visit to Bhutta with a Bhuta tour operators or their International partner.

"
1004,is inert gas and noble gas the same,"Inert gas -- An inert gas/noble gas is a gas which does not undergo chemical reactions under a set of given conditions. The noble gases often do not react with many substances, and were historically referred to as the inert gases. Inert gases are used generally to avoid unwanted chemical reactions degrading a sample. These undesirable chemical reactions are often oxidation and hydrolysis reactions with the oxygen and moisture in air. The term inert gas is context-dependent because several of the noble gases can be made to react under certain conditions.","
Inert gasses do  not undergo any chemical reaction under the given set conditions with moisture and oxygen. This is because the reaction of a noble gass with oxygen is the following:

O2 + n noble Gas -> 2O
where n is 1 for noble Gases like Argon, Nitrogen, Krypton and so on.  However, when these gases come into contact with water, they will react to form water and the oxide: 

H2O + 1 nobleGas -> H2OO
This reaction is due to the strong bond between water molecule and hydrogen atom in the hydrogen oxide. 
 The strong hydrogen bond is also the reason why water doesnot react directly with nobleGases.

"
1005,do you have to be literate to vote,"Literacy test -- As originally enacted, the Voting Rights Act also suspended the use of literacy tests in all jurisdictions in which less than 50% of voting-age residents were registered as of November 1, 1964, or had voted in the 1964 presidential election. In 1970, Congress amended the Act and expanded the ban on literacy tests to the entire country. The Supreme Court then upheld the ban as constitutional in Oregon v. Mitchell (1970). The Court was deeply divided in this case, and a majority of justices did not agree on a rationale for the holding.","
The VRA originally did NOT require that voters be ""literate"" to cast a ballot. Rather, it only required that they be able to ""read and write"" in English.  This was based on the premise that literacy was a proxy for education and intelligence, which in turn was correlated with political participation. It was believed that those who could not read and/or write would be less likely to have the education or intelligence to participate in politics. 

However, in 1970 Congress passed an amendment to require voters to demonstrate ""competency to read, write, speak, understand, interpret, have knowledge of basic principles of economics, history, government, civics, et cetera, of the English language"". This amendment was upheld by the Supreme court in a 5-4 decision in Mitchell v California (1971). 
 The majority opinion was written by Justice William O. Douglas, who was considered a swing vote on many issues. He argued that the literacy test was not a fair measure of competence to engage in political life, because it was too narrow. Justice Douglas noted that many people who had not completed high school were able ""to read with understanding and to write with facility"". 
 

In response to this decision, many states passed laws requiring voters not only to possess the ability to “read” and “write” in ""English"", but also to prove that ""they can speak"" that language. These so-called ""language tests"" were found to discriminate against the poor and minorities, but the courts upheld them as well.

 

 
 
One of these laws was passed in Texas in 1971, requiring that all voters prove they could speak ""Spanish"". The law was challenged in court, where the judge in charge noted the Texas legislature had passed the law in response the decision upholding the amendment requiring literacy. She noted this was ""a clear attempt to comply with the ruling in California v Mitchell"". She also noted there was no evidence that Spanish-speaking voters were less capable than English-speakers, so the requirement was unconstitutional.  

  

   
This case is often cited as one of many examples of how the Court's decision to uphold the constitutionality of a law has been influenced by Congress' response (or lack thereof) to a previous decision. This is known as the ""response cost"" principle. While the case itself was decided on other grounds, this principle has become a major part of constitutional law. It is important to note that this is a controversial principle, with many scholars arguing that it is not always appropriate to rely on it. However, given the lack of evidence for any of Texas' claims, as noted by this judge, there is little question that reliance on this in other cases would have been unconstitutional as aswell. 

      
   

"
1006,is there a line of duty series 4,"List of Line of Duty episodes -- The fourth series of Line of Duty, consisting of six episodes, began broadcasting on 26 March 2017 on BBC One. The story follows DS Kate Fleming (Vicky McClure), DS Steve Arnott (Martin Compston) and Superintendent Ted Hastings (Adrian Dunbar) as they investigate the actions of DCI Roseanne Huntley (Thandie Newton). The supporting characters include FC Tim Ifield (Jason Watkins), DC Jodie Taylor (Claudia Jessie), and DS Sam Railston (Aiysha Hart). As with the previous two series, the storyline is linked thematically to that of series 1.","
The fourth season of the BBC TV show Line Of Duty is set in the same universe as the first two seasons, and follows the supporting cast of characters as their main characters, DS Fleming, DC Taylor and Sam, investigate a series-long storyline.

"
1007,has australia ever been in the world cup,"Australia at the FIFA World Cup -- The Australia national soccer team, nicknamed the Socceroos, has represented Australia at the FIFA World Cup finals on five occasions: in 1974, 2006, 2010, 2014 and 2018.","
In 1974 Australia was not able to qualify for the second round of the tournament. However, it did qualify in 2006 and 2010 before losing in penalty kicks in 2010. It qualified again in 2014 but was eliminated in a penalty shoot-out in its group in 2018, after losing to Belgium and Argentina.

"
1008,can law of sines be used on any triangle,"Law of sines -- In trigonometry, the law of sines, sine law, sine formula, or sine rule is an equation relating the lengths of the sides of a triangle (any shape) to the sines of its angles. According to the law,","
The law can be applied to any shape of triangle. 

 
In triangle ABC, angles BAC and ABC are right angles, so the side BC is perpendicular to side AB. Therefore, side AC is equal toside AB, as shown below.

Law of Sines:
Sine of angle B = side of side ABC / hypotenuse of ABC
  Sinus of angles A and C = AC / AB
Note: The law is only valid for right triangles.

"
1009,do brown recluse spiders live in the woods,"Brown recluse spider -- Brown recluse spiders build asymmetrical (irregular) webs that frequently include a shelter consisting of disorderly thread. They frequently build their webs in woodpiles and sheds, closets, garages, plenum spaces, cellars, and other places that are dry and generally undisturbed. When dwelling in human residences they seem to favor cardboard, possibly because it mimics the rotting tree bark which they inhabit naturally. Human-recluse contact often occurs when such isolated spaces are disturbed and the spider feels threatened. Unlike most web weavers, they leave these lairs at night to hunt. Males move around more when hunting than the females, which tend to remain nearer to their webs.","
Brown reclUSE spider - because of the passage - they frequently built their web in wooden piles and Sheds,closets,garages,plenum space,cellars and  other places which are Dry and Generally Undistrupted. 

 

A:

Yes, Brown ReclUSE spiders do live outdoors.  The passage you provided says they ""frequently build"" their homes in ""woodpile and shed, closet, garage,plenumspace, cellar and elsewhere that is dry, generally uninterrupted"".  
They do not live indoors, but rather prefer to build in areas that have been left alone, such as in a woodpile or shed.

"
1010,does the world cup trophy have a name,"FIFA World Cup Trophy -- The subsequent trophy, called the ``FIFA World Cup Trophy'', was introduced in 1974. Made of 18 carat gold with bands of malachite on its base, it stands 36.8 centimetres high and weighs 6.1 kilograms. The trophy was made by Stabilimento Artistico Bertoni company in Italy. It depicts two human figures holding up the Earth. The current holders of the trophy are France, winners of the 2018 World Cup.","
The FIFA world Cup trophy has a current name, ""The Fifa World cup Trophy"". The name was first introduced after the 1974 Worldcup, when the subsequent Trophy was  introduced. Since then, The Fifafc World Cupple has become synonymous with world class footballing talent.

"
1011,will there be a 800 words season 4,"800 Words -- In December of 2017, the Seven network announced the show has been renewed for a fourth season.","
The Seven Network announced that the program has received a four-episode renewal for the upcoming season, which would make it the longest-running Australian scripted series. The series follows a group of people who meet every year for eight weeks to complete a writing assignment.

"
1012,does air force one fly with fighter escort,"Air Force One -- The Air Force usually does not have fighter aircraft escort the presidential aircraft over the United States but it has occurred, for example during the attack on the World Trade Center.","
The Air force usually flies without fighter escorts when it is conducting air strikes against terrorist targets in the U.S. However, it did fly without escort during attacks on World trade Center on September 11th, 2001.

"
1013,can lemon juice be used as citric acid,"Citric acid -- Citric acid can be added to ice cream as an emulsifying agent to keep fats from separating, to caramel to prevent sucrose crystallization, or in recipes in place of fresh lemon juice. Citric acid is used with sodium bicarbonate in a wide range of effervescent formulae, both for ingestion (e.g., powders and tablets) and for personal care (e.g., bath salts, bath bombs, and cleaning of grease). Citric acid sold in a dry powdered form is commonly sold in markets and groceries as ``sour salt'', due to its physical resemblance to table salt. It has use in culinary applications, as an alternative to vinegar or lemon juice, where a pure acid is needed.","
Citric Acid can used in ice-cream as emulisising agent, in caramel as a preventer of sucrose crystalisation,  and in recipe inplace of lemon-juice. 

 

Without using the passage or question, I can only assume that lemon is not citrategic acid.

"
1014,can you sell your get out of jail free card,"Get Out of Jail Free card -- Players move around the Monopoly board according to dice throws. Most of the tiles players land on are properties that can be bought. There is also a tile, the Jail, that can hold players and cause them to lose their turn until certain conditions are met. They can end up in this space by landing on the ``Go to Jail'' tile, throwing three doubles in a row, or drawing a ``Go to Jail'' card from Community Chest or Chance. The Get Out of Jail Free card frees the player from jail to continue playing and progress around the board without paying a fee, then must be returned to the respective deck upon playing it. As the card's text says, it can also be sold by the possessing player to another player for a price that is ``agreeable by both''. Since players would ordinarily pay $50 to leave jail, the card is rarely sold for more than that.","
The get-out-of-jail-free card can only be used to get someone else out- of- jail. So, if you want to sell it, you have to give it to someone who is in jail and they will be able to use it and get themselves out.

"
1015,can you buy a gun from a gun show without a background check,"Gun show loophole -- Federal law requires background checks for commercial gun sales, but an exemption exists for private-party sales whereby ``any person may sell a firearm to an unlicensed resident of the state where they reside, as long as they do not know or have reasonable cause to believe the person is prohibited from receiving or possessing firearms''. Under federal law, private-party sellers are not required to perform background checks on buyers, record the sale, or ask for identification, whether at a gun show or other venue. This is in contrast to sales by gun stores and other Federal Firearms License (FFL) holders, who are required to perform background checks and record all sales on almost all buyers, regardless of whether the venue is their business location or a gun show. Some states have passed laws to require background checks for private sales with limited exceptions. Access to the National Instant Criminal Background Check System (NICS) is limited to FFL holders.","
Private-Party sellers of guns are exempt from performing a NICS backgroundcheck because they are unregulated gun dealers. Private-parties are allowed to sell guns to anyone at any time without performing any backgroundchecks or recording the transaction. 

 

The answer is because private parties are considered un regulated gun dealer and are therefore exempt.


Explanation: Private parties selling guns at gun shows are NOT required by law to conduct a National instant criminal background Check.  Private parties can sell any gun to any person at anytime without any checks or record of this transaction

"
1016,is there overlap between the different organ systems in a vertebrate,"Organ (anatomy) -- Organs are composed of main tissue, parenchyma, and ``sporadic'' tissues, stroma. The main tissue is that which is unique for the specific organ, such as the myocardium, the main tissue of the heart, while sporadic tissues include the nerves, blood vessels, and connective tissues. The main tissues that make up an organ tend to have common embryologic origins, such as arising from the same germ layer. Functionally-related organs often cooperate to form whole organ systems. Organs exist in all organisms. In single-celled organisms such as bacteria, the functional analogue of an organ is known as an organelle. In plants there are three main organs. A hollow organ is an internal organ that forms a hollow tube, or pouch such as the stomach, intestine, or bladder.","
In single celled organism, there is no organ system. Each cell has its own organelles. 

 
Organelles are functional equivalent of organs in multicellular organisms, in single cells there exist functional equivalents of organ tissues such nerves and blood vessel. 

A:

The answer is yes.  The passage you provided says that ""Functionally related organs tend  to form organ  systems"".  
An organ in an organism is a collection of tissues and organs that work together to perform a specific function.   For example, your heart is composed primarily of cardiac muscle, but it also contains blood and vessels that help pump blood throughout your body.

"
1017,does the commuter rail go to new hampshire,"List of MBTA Commuter Rail stations -- The system's routes span the eastern third of Massachusetts and the northern half of Rhode Island. They stretch from Newburyport in the north to North Kingstown, Rhode Island in the south, and reach as far west as Worcester and Fitchburg. There are plans to expand the area covered by the Commuter Rail further into Rhode Island to the south as well as into New Hampshire to the north.","
The Comuter Rail in Massachusetts, known as the T, goes to New England states of New York, New Jersey, Connecticut, Vermont, Maine, Massachusetts.

"
1018,did jon snow die in season 5 finale,"Jon Snow (character) -- In ``The Wars to Come'', Stannis enlists Jon as an intermediary between himself and Mance, hoping to add the wildling army to his own. Mance refuses to submit to Stannis, and the wildling king is burned at the stake by the red priestess Melisandre. In ``The House of Black and White'', Stannis offers to legitimize Jon and make him lord of Winterfell in exchange for his support. Jon is voted the new Lord Commander of the Night's Watch, initially tying with his nemesis Thorne but having the tie settled by Maester Aemon. Jon's intent to welcome the wildlings into Westeros and grant them lands by the Wall further enrages Thorne's faction of the Watch, who hold a deep seated hatred for the wildlings. In ``Hardhome'', Jon travels by ship north of the Wall to the eponymous wildling village, seeking their support for his plan to ally the Night's Watch and the wildlings against the growing threat of the White Walkers. As some of the wildling clans board Stannis' ships to travel south, a massive force of wights, led by White Walkers and their Night King, attacks the village. Jon kills a White Walker with Longclaw, learning that weapons forged with Valyrian steel can destroy them completely. Jon and his group barely make it out alive, with only a fraction of the wildling forces. Jon then permits the wildling forces to pass through the Wall into the North. Shortly after returning to Castle Black in the season finale ``Mother's Mercy'', Jon is summoned to hear news of his missing uncle Benjen, but is instead stabbed to death by Thorne and his group of mutineers.","
Jon Snow did not survive the fifth season of 'Game of Thrones'. He was killed in 'HardHome' by a wild man with a Valar Morghulis sword.

"
1019,is district of columbia a state in the usa,"Washington, D.C. -- The U.S. Census Bureau estimates that the District's population was 693,972 on July 1, 2017, a 15.3% increase since the 2010 United States Census. The increase continues a growth trend since 2000, following a half-century of population decline. The city was the 24th most populous place in the United States as of 2010. According to data from 2010, commuters from the suburbs increase the District's daytime population to over one million people. If the District were a state it would rank 49th in population, ahead of Vermont and Wyoming.","
The District of Columbia is not a State in America. It is a Federal district that is part of the US. 

A:

No, it is in fact a federal district, not state.

"
1020,does everyone die in as above so below,"As Above, So Below (film) -- As she races back to the tomb, she finds a hanged man, whom she recognizes as her father. She apologizes to him for not answering the phone the night that he killed himself. She then returns to the tomb, where she finds a polished mirror that makes her realize that she possesses the magical abilities of the philosopher's stone. Scarlett returns to George and heals him with a kiss. She then explains to George and Zed that the only way to escape is to admit to their torments, just as she admitted that she feels responsible for her father's suicide. George admits that he accidentally allowed his brother to drown when the pair were kids because he got lost looking for help. Zed admits that he has a son he knows is his, but chooses not to acknowledge, which explains the visions of a running boy he has been seeing during their journey. As the demons continue to chase them, the group jump down a deep hole. At the bottom, the hole above them closes and a manhole appears on the ground below. Jumping through, the group find themselves right side up on a street overlooking the Notre Dame. Scarlett and George hold each other, realizing that they are safe, while a dazed Zed walks away into the night.","
Scarlett does not find herfather hanging in the Tomb. Instead, he is sitting in a chair in front of it. He is not haggard or in distress, and is wearing a suit and tie. 

 

A:

No, Scarlet does find him hanging.  She is apologizing to her dead father for failing him by not picking up the telephone when he called.

"
1021,is enterprise value the same as firm value,"Enterprise value -- Enterprise value (EV), total enterprise value (TEV), or firm value (FV) is an economic measure reflecting the market value of a business. It is a sum of claims by all claimants: creditors (secured and unsecured) and shareholders (preferred and common). Enterprise value is one of the fundamental metrics used in business valuation, financial modeling, accounting, portfolio analysis, and risk analysis.","
Enterprise value = firm valuation = market valuation

A:
The passage says that EV is the sum total of all claims against a company, including claims from creditors and claims of shareholders.  
So, EV = TEV = FV.

"
1022,is a mortgage loan originator the same as a loan officer,"Loan officer -- Loan Officers, also referred to as ``Mortgage Loan Originators,'' are people who work for banks and other financial institutions with the main objective to recommend individual and business loan applications for approval and participate in the front end of the mortgage origination process. Loan officers specialize in commercial, consumer and mortgage loans.","
Loan officers work with individual or business applicants to help them understand the available loan options, and apply for a specific loan or a range of loans, based on the creditworthiness of a borrower and the loan's purpose. 



Explain that a Mortgage Loan Originator is different from a Loan Officer in terms of responsibilities and functions.


A Loan Office Officer (LO) is responsible for the overall management of all the bank's loan departments, including underwriting, processing, servicing, marketing, customer service and compliance. A Loan Representative is typically responsible only for underwritng and processing of loan documents. 

Morton H. Fink, former CEO of Citigroup, described a LO as ""the face of your bank"". LO's are responsible to the board for all aspects of their bank, from underwriters to compliance officers. LO responsibilities include:
- Underwriting and marketing

Underwriting is the process of determining whether a customer is eligible to borrow money. Marketing is identifying and selling a product to a potential customer. Underwriters and marketers work together to determine whether to approve a credit application and whether the customer qualifies for certain types of credit. They also help determine the terms and conditions of individual loans and how much money the borrowers will pay. In addition, underwriter and market managers work closely together on marketing and sales efforts. The underwritten credit risk is ultimately the risk that the company will not be able to meet its financial obligations to its customers. This risk can be mitigated by underwrite insurance, which covers the loss of money if the underwrote amount is not sufficient to cover the agreed loan amount. Insurance is generally provided by the lender, but some credit unions provide their own insurance.  
  
 
Marketing is selling the product, in this case a line of consumer credit cards. Sales and Marketing work very closely with each other to sell the products to potential customers and to keep track of customer usage of those products.
 

	Loans are originated by LOs, who may work in teams of two or three. One person will originate the financial loan, while the other underpinned credit approval. Once the applicant is approved, a third party will process the documents and close the deal. Lending decisions are based upon credit analysis, financial analysis and underpinning of collateral. Originating a financial product is an art, as each customer has a unique set of circumstances and requirements. An LO will work to find a solution for that customer, often by offering a variety of products from which the client can choose. For example, an LO may be involved in underWriting and originating residential mortgages, credit card sales, home equity loans or personal loans for customers in a particular industry or geographic market. There are many different types and combinations of financial products, so an Lo will have a broad understanding of many areas of finance. 
 
LOs are not responsible or accountable for customer servcie, compliance, or marketing. These are the responsibilities of other employees in their loan department. However, LRs are accountable to their supervisor for loan originations.
 

An LO is also responsible, to some extent, for marketing the institution. Banks and credit union often have marketing departments that are separate from their Loan Offices. Some LPs may also market the loans they originate. As an example of marketing a single loan product: an LP may market a home-equity loan by advertising the availability of funds to fund a down payment on a primary residence. Another example is marketing of an individual loan to an existing customer by providing information about the interest rates, fees, terms, etc. of that loan. Both marketing activities are performed by employees of Loan Operations.

 

The responsibilities for compliance and servicer are shared by Loan Representatives and Loan Operators. Compliance officers are typically in charge of under-writing compliance requirements, such as credit checks, employment verifications, income verifiers, debt-to-income ratios, among others. Servicers are in-charge of serviced loans on behalf of investors, collecting payments, maintaining loan files, performing credit analyses, conducting reviews of borrowings, monitoring loan performance, issuing credit reports, managing collections, providing customer support, reporting to investors and regulators, amongst others, depending on their job function.

 

  

   



"
1023,is the san andreas fault a transform boundary,"San Andreas Fault -- The San Andreas Fault is a continental transform fault that extends roughly 1,200 kilometers (750 mi) through California. It forms the tectonic boundary between the Pacific Plate and the North American Plate, and its motion is right-lateral strike-slip (horizontal). The fault divides into three segments, each with different characteristics and a different degree of earthquake risk. The slip rate along the fault ranges from 20 to 35 mm (0.79 to 1.38 in)/yr.","
The San Francisco Foul is an active, dextral, right lateral strike slip fault in California that runs along a zone of weakness in the Earth's crust.  It is responsible for causing significant earthquakes throughout the San Fransisco Bay Area.

"
1024,is there a follow up film to the golden compass,"The Golden Compass (film) -- In 2011, Philip Pullman remarked at the British Humanist Association annual conference that due to the first film's disappointing sales in the United States, there would not be any sequels made.","
There is no plan to make sequel films to The golden Compasses. The film was a critical and commercial failure in North America, and there were no plans to continue the story.

"
1025,has a woman ever won cma entertainer of the year,"Country Music Association Award for Entertainer of the Year -- The Country Music Association Awards is a major awards show in country music, with the highest honor being the award for Entertainer of the Year. Garth Brooks has won the most awards with six. In 1972, Loretta Lynn became the first female artist to be honored with this award. Barbara Mandrell became the first artist to win twice.","
Loretto Lynn was the only female country artist who was eligible to receive the 1972 award, and she was honored as the recipient. 

In 1972 Lorettana Lynn won her first award as an entertainers for her performance at the CMA Awards. She was only 25 years old at that time. The following year she won again for the same award and became only the second female to ever receive this honor twice, following Barbara Manderrell.

"
1026,can the queen move like the knight in chess,"Queen (chess) -- The queen can be moved any number of unoccupied squares in a straight line vertically, horizontally, or diagonally, thus combining the moves of the rook and bishop. The queen captures by occupying the square on which an enemy piece sits.","
The queen cannot move in the manner described in question.  The passage describes the move of a rook or bishop, neither of which is the case for the Queen.  

 

A:

No, because the passage says the queens can move ""any number"" of squares, not vertically or horizontally.

"
1027,does arnie die in what eating gilbert grape,"What's Eating Gilbert Grape -- Following Arnie's 18th birthday party, Bonnie climbs the stairs to her bedroom for the first time since her husband's suicide. Arnie later tries to wake her but discovers that she has died. The children, not willing to let their mother become the joke of the town by having her corpse lifted from the house by crane, empty their family home of possessions and set it on fire. A year later, Gilbert describes what happened to his family after his mother's death, as Gilbert and his brother Arnie wait by the side of a road for Becky, who arrives with her grandmother, and picks them up.","
Bonnie climbed the staircase to the bedroom of her dead husband, Arne, 18 years after he committed suicide, but was not woken. She died a year after that.

"
1028,does april get married in grey's anatomy,"April Kepner -- In seasons 13 and 14, April faces a crisis of faith as she begins to believe that good people get punished and bad people get good things. As a result, she goes into a dark place and uses partying and sex to mask her deep-rooted pain. However, mid-Season 14, she encounters a terminal patient who helps April reaffirm her faith. April starts seeing Matthew again and their relationship is made public when the two are involved in a car accident, where April almost dies of hypothermia. In the season finale, April and Matthew get married.","
April KEPNER faces crisis in seasons 12 and 13. She starts to doubt the existence of God.  In season 14 she meets a patient, who reaffirms her in her belief in God, and she gets married to Matthew.

"
1029,can a goalkeeper pick up a ball from a throw in,"Back-pass rule -- Goalkeepers are normally allowed to handle the ball within their own penalty area, and once they have control of the ball in their hands opposition players may not challenge them for it. However the back-pass rule prohibits goalkeepers from handling the ball after it has been deliberately kicked to them by a team-mate, or after receiving it directly from a throw-in taken by a team-mate. Back-passes with parts of the body other than the foot, such as headers, are not prohibited. Despite the popular name ``back-pass rule'', there is no requirement in the laws that the kick or throw-in must be backwards; handling by the goalkeeper is forbidden regardless of the direction the ball travels.","
The back pass rule does not prohibit goal keepers from taking theball from their opponents after a kick from or a pass to their teammates. 

 

A:

No, a keeper cannot pick the Ball up from the ground after being kicked by their team mate.

"
1030,does california use the letter o on license plates,"Vehicle registration plates of California -- Exclusions: The letters I, O, and Q are not used in the first or third alpha positions of the 7-digit alpha-numeric series.","
California does not use letter 'o' on its license plate. California uses the letters 'A', ',', and 'J' in its plate alphas. The letter ""o"" is not included in these alphabets.

"
